model,seed,generation,name,label,detail
qwen3.5-4b,1,15,CMA_ES_Optimizer,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,2) (5,2) "
qwen3.5-4b,1,17,AdaptiveCovarianceEvolutionStrategy,interface_mismatch,__call__ failed: '<' not supported between instances of 'list' and 'float'
qwen3.5-4b,1,20,AdaptiveCovarianceSearch,code_generation,"unindent does not match any outer indentation level (<unknown>, line 86)"
qwen3.5-4b,1,21,AdaptiveCovarianceMatrixSearch,runtime_error,AttributeError: 'AdaptiveCovarianceMatrixSearch' object has no attribute 'population_size'
qwen3.5-4b,1,22,CovarianceMatrixAdaptiveStrategyWithParallelSampling,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,1,23,AnisotropicCovariantSearch,runtime_error,AttributeError: 'ioh.iohcpp.problem.Discus' object has no attribute '__code__'
qwen3.5-4b,1,24,ACOptimizer,runtime_error,AttributeError: 'ACOptimizer' object has no attribute 'std_devs'
qwen3.5-4b,1,25,AdaptiveCovarianceMatrixSearch,code_generation,"expected an indented block after 'if' statement on line 64 (<unknown>, line 71)"
qwen3.5-4b,1,26,AdaptiveCovarianceSearch,interface_mismatch,__call__ failed: 'float' object is not iterable
qwen3.5-4b,1,27,CovarianceMatrixAdaptationWithPopulationDiversity,code_generation,"invalid syntax (<unknown>, line 2)"
qwen3.5-4b,1,28,AdaptiveCovarianceMatrixSearch,code_generation,"unindent does not match any outer indentation level (<unknown>, line 153)"
qwen3.5-4b,1,29,AdaptiveCovarianceMatrixEvolution,runtime_error,"ValueError: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part."
qwen3.5-4b,1,30,AdaptiveCovarianceSearch,runtime_error,AttributeError: 'AdaptiveCovarianceSearch' object has no attribute '_init_population'
qwen3.5-4b,1,31,MultiStrategyAdaptiveCovarianceSampling,code_generation,"'in' expected after for-loop variables (<unknown>, line 32)"
qwen3.5-4b,1,32,AdaptiveCovarianceMatrixSearch,runtime_error,AttributeError: 'AdaptiveCovarianceMatrixSearch' object has no attribute 'startipping_points'
qwen3.5-4b,1,34,PopulationAdaptiveSearch,runtime_error,AttributeError: 'PopulationAdaptiveSearch' object has no attribute 'recombine_best'
qwen3.5-4b,1,37,AdaptiveCovarianceSearch,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,) (10,) "
qwen3.5-4b,1,38,AdaptiveCovarianceSearch,runtime_error,AttributeError: 'AdaptiveCovarianceSearch' object has no attribute 'current_best_x'
qwen3.5-4b,1,41,CovarianceMatrixAdaptationSearch,import_violation,scipy.stats is currently not allowed to be imported in this framework.
qwen3.5-4b,1,42,AdaptiveEvolutionaryCovarianceSearch,runtime_error,IndexError: list index out of range
qwen3.5-4b,1,43,ImprovedCovarianceAdaptiveSearch,code_generation,"expected an indented block after 'else' statement on line 114 (<unknown>, line 123)"
qwen3.5-4b,1,45,AdaptiveCovarianceSearch,interface_mismatch,__call__ failed: AdaptiveCovarianceSearch._update_covariance() got an unexpected keyword argument 'current_evals'
qwen3.5-4b,1,46,CovarianceMatrixAdaptiveSearch,runtime_error,"ValueError: cannot reshape array of size 2 into shape (2,2)"
qwen3.5-4b,1,49,AdaptiveCovarianceSearch,unclassified_success,ok
qwen3.5-4b,1,52,CovarianceAdaptiveSearch,interface_mismatch,"__call__ failed: __call__(): incompatible function arguments. The following argument types are supported:
    1. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[float]) -> float
    2. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[List[float]]) -> List[float]

Invoked with: <RealSingleObjectiveProblem 11. Discus (iid=1 dim=2)>, <generator object CovarianceAdaptiveSearch.__call__.<locals>.<genexpr> at 0x131d77b90>"
qwen3.5-4b,1,53,ImprovedCovarianceAdaptiveSearch,runtime_error,UnboundLocalError: cannot access local variable 'best_x' where it is not associated with a value
qwen3.5-4b,1,54,PopCovRestartOptimizer,runtime_error,__init__ raised IndexError: index 2 is out of bounds for axis 0 with size 2
qwen3.5-4b,1,55,AdaptiveDirectionalMomentumSearch,code_generation,"closing parenthesis ']' does not match opening parenthesis '(' on line 91 (<unknown>, line 92)"
qwen3.5-4b,1,56,AdaptiveCovariancePopulation,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,1,57,CovarianceAdaptiveSearch,interface_mismatch,__call__ failed: only integer scalar arrays can be converted to a scalar index
qwen3.5-4b,1,58,CovarianceAdaptiveSearch,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,1,59,CovarianceAdaptiveSearch,runtime_error,__init__ raised NameError: name 'func' is not defined
qwen3.5-4b,1,60,AdaptiveStepPopulationSearch,code_generation,"closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 95)"
qwen3.5-4b,1,61,AdaptiveCovarianceMatrixEvolution,runtime_error,UnboundLocalError: cannot access local variable 'v' where it is not associated with a value
qwen3.5-4b,1,63,PAC_ES,runtime_error,AttributeError: 'PAC_ES' object has no attribute 'best_f_history'
qwen3.5-4b,1,64,ElitistDynamicCovarianceSearch,runtime_error,"ValueError: operands could not be broadcast together with shapes (20,) (2,) "
qwen3.5-4b,1,66,ImprovedCovarianceAdaptiveSearch,runtime_error,ValueError: min() iterable argument is empty
qwen3.5-4b,1,67,RefinedCovarianceAdaptiveSearch,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,1,69,CovarianceAdaptiveSearch,interface_mismatch,__init__ failed: len() of unsized object
qwen3.5-4b,1,70,HistoryBasedEvolutionarySearch,runtime_error,NameError: name 'budget' is not defined
qwen3.5-4b,1,71,AdaptiveCovarianceSearch,import_violation,"scipy.linalg, scipy.linalg are currently not allowed to be imported in this framework."
qwen3.5-4b,1,72,EnhancedAdaptiveCovarianceSearch,import_violation,"typing, typing, typing, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,1,73,AdaptiveMultiRestartCMA,runtime_error,NameError: name 'best_f_history' is not defined
qwen3.5-4b,1,74,CovarianceMatrixAdaptiveEvolutionStrategy,runtime_error,__init__ raised AttributeError: 'NoneType' object has no attribute 'copy'
qwen3.5-4b,1,75,CovarianceAdaptiveSearch,runtime_error,NameError: name 'samples' is not defined
qwen3.5-4b,1,76,RobustAdaptiveCovarianceSearch,runtime_error,NameError: name 'pop_size' is not defined
qwen3.5-4b,1,77,AdaptiveCMAES,code_generation,"unmatched ')' (<unknown>, line 125)"
qwen3.5-4b,1,78,AdaptivePopulationEvolutionarySearch,import_violation,"typing, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,1,79,MultiParentCovarianceAdaptiveSearch,import_violation,scipy.optimize is currently not allowed to be imported in this framework.
qwen3.5-4b,1,80,ParticleSwarmOptimization,runtime_error,AttributeError: 'ParticleSwarmOptimization' object has no attribute 'budget_used'
qwen3.5-4b,1,81,ImprovedCMAES,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 10 is different from 2)"
qwen3.5-4b,1,82,CovarianceAdaptiveSearch,interface_mismatch,__call__ failed: only integer scalar arrays can be converted to a scalar index
qwen3.5-4b,1,83,AdaptiveRankBasedCovarianceSearch,import_violation,"typing, typing, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,1,84,CovarianceAdaptiveSearch,runtime_error,NameError: name 'N' is not defined
qwen3.5-4b,1,85,RefinedCovarianceSearch,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,2) (50,2) "
qwen3.5-4b,1,86,CovarianceAdaptiveSearch,runtime_error,AttributeError: 'CovarianceAdaptiveSearch' object has no attribute 'best_f'
qwen3.5-4b,1,87,AdaptiveCovarianceEnsembleSearch,runtime_error,UnboundLocalError: cannot access local variable 'avg_var' where it is not associated with a value
qwen3.5-4b,1,88,CovarianceAdaptiveSearch,runtime_error,__init__ raised UnboundLocalError: cannot access local variable 'pop_size' where it is not associated with a value
qwen3.5-4b,1,89,DifferentialEvolutionBBOB,runtime_error,"IndexError: too many indices for array: array is 0-dimensional, but 1 were indexed"
qwen3.5-4b,1,90,CovarianceMatrixSearch,runtime_error,__init__ raised AttributeError: 'CovarianceMatrixSearch' object has no attribute 'covariance_matrix'
qwen3.5-4b,1,91,CovarianceAdaptiveSearch,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 20 is different from 2)"
qwen3.5-4b,1,93,AdaptivePopulationSearch,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 20 is different from 2)"
qwen3.5-4b,1,94,AdaptiveRestartCovarianceSearch,runtime_error,__init__ raised AttributeError: 'NoneType' object has no attribute 'copy'
qwen3.5-4b,1,95,AdaptiveCovarianceSearch,code_generation,"invalid syntax (<unknown>, line 112)"
qwen3.5-4b,1,96,AdvancedCovarianceAdaptiveSearch,import_violation,typing is currently not allowed to be imported in this framework.
qwen3.5-4b,1,97,AdaptiveCovarianceSearch,interface_mismatch,__call__ failed: object of type 'int' has no len()
qwen3.5-4b,1,99,AdaptiveCovarianceSearch,import_violation,"scipy.linalg, time are currently not allowed to be imported in this framework."
qwen3.5-4b,2,3,CmaEsOptimizer,runtime_error,AttributeError: 'CmaEsOptimizer' object has no attribute 'x_opt'
qwen3.5-4b,2,4,AdaptiveBoundSearch,runtime_error,UnboundLocalError: cannot access local variable 'alpha' where it is not associated with a value
qwen3.5-4b,2,6,CMA_ES_Solver,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 5 is different from 2)"
qwen3.5-4b,2,7,CMAES,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
qwen3.5-4b,2,8,AdaptiveGaussianOptimizer,interface_mismatch,__call__ failed: '<' not supported between instances of 'list' and 'float'
qwen3.5-4b,2,10,NelderMeadOptimizer,interface_mismatch,__call__ failed: only integer scalar arrays can be converted to a scalar index
qwen3.5-4b,2,11,AdaptiveCoordinateDescent,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,2,12,CMAES,runtime_error,timeout: exceeded 10s smoke-test budget
qwen3.5-4b,2,14,AdaptiveParticleSwarmOptimization,runtime_error,AttributeError: 'float' object has no attribute 'argsort'
qwen3.5-4b,2,15,CMA_ES,runtime_error,ValueError: cov must be 2 dimensional and square
qwen3.5-4b,2,18,AdaptiveDifferentialEvolution,runtime_error,NameError: name 'pop' is not defined
qwen3.5-4b,2,20,AdaptiveParticleSwarmOptimization,interface_mismatch,"__call__ failed: __call__(): incompatible function arguments. The following argument types are supported:
    1. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[float]) -> float
    2. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[List[float]]) -> List[float]

Invoked with: <RealSingleObjectiveProblem 11. Discus (iid=1 dim=2)>, None"
qwen3.5-4b,2,22,AdaptiveCovarianceMatrixStrategy,interface_mismatch,"__call__ failed: __call__(): incompatible function arguments. The following argument types are supported:
    1. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[float]) -> float
    2. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[List[float]]) -> List[float]

Invoked with: <RealSingleObjectiveProblem 11. Discus (iid=1 dim=2)>, np.float64(0.0)"
qwen3.5-4b,2,23,ACE_ES,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,25,AdaptiveCovarianceSearch,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,26,AdaptiveParticleSwarmOptimization,code_generation,"unexpected indent (<unknown>, line 70)"
qwen3.5-4b,2,28,CovarianceMatrixEvolutionaryStrategy,runtime_error,AttributeError: 'CovarianceMatrixEvolutionaryStrategy' object has no attribute 'evaluations'
qwen3.5-4b,2,29,AdaptiveCovarianceEvolutionaryStrategy,interface_mismatch,__call__ failed: unsupported operand type(s) for -: 'NoneType' and 'float'
qwen3.5-4b,2,30,AdaptiveCovarianceSimulatedAnnealing,runtime_error,AttributeError: 'AdaptiveCovarianceSimulatedAnnealing' object has no attribute 'current_temp'
qwen3.5-4b,2,31,APSO,runtime_error,"ValueError: operands could not be broadcast together with shapes (1,3,1,2,2) (3,2) "
qwen3.5-4b,2,32,AdaptiveSimulatedAnnealing,interface_mismatch,__call__ failed: unsupported operand type(s) for +: 'NoneType' and 'float'
qwen3.5-4b,2,33,AdaptiveCovarianceEvolution,interface_mismatch,__call__ failed: '<' not supported between instances of 'list' and 'float'
qwen3.5-4b,2,34,EnsembleSearchAlgorithm,code_generation,"invalid syntax. Maybe you meant '==' or ':=' instead of '='? (<unknown>, line 48)"
qwen3.5-4b,2,35,AdaptiveRestartSimulatedAnnealing,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,36,CuckooSearchOptimizer,import_violation,"typing, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,2,37,QuantumInspiredEvolutionaryOptimizer,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,38,AdaptiveLeyvynSimulatedAnnealing,runtime_error,IndexError: list index out of range
qwen3.5-4b,2,39,AdaptiveCovarianceEvolutionStrategy,runtime_error,AttributeError: 'AdaptiveCovarianceEvolutionStrategy' object has no attribute 'evaluations'
qwen3.5-4b,2,41,CMAQT_ES,code_generation,"invalid syntax (<unknown>, line 104)"
qwen3.5-4b,2,42,AdaptiveMultiResolutionSimulatedAnnealing,import_violation,"typing, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,2,43,AdaptiveCovarianceEvolution,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,45,AdaptiveCovarianceSimulatedAnnealing,import_violation,"typing, typing, time are currently not allowed to be imported in this framework."
qwen3.5-4b,2,46,ImprovedAdaptiveSimulatedAnnealing,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,48,AdaptiveEvolutionStrategy,code_generation,"unindent does not match any outer indentation level (<unknown>, line 83)"
qwen3.5-4b,2,52,AdaptiveRandomSearchWithEnhancement,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,53,AdaptiveCmaEs,code_generation,"invalid syntax (<unknown>, line 42)"
qwen3.5-4b,2,56,AdaptiveCovarianceSearch,runtime_error,__init__ raised NameError: name 'func' is not defined
qwen3.5-4b,2,57,AdaptiveCmaEs,code_generation,"expected an indented block after 'if' statement on line 60 (<unknown>, line 64)"
qwen3.5-4b,2,58,CovarianceMatrixAdaptationES,runtime_error,__init__ raised AttributeError: 'CovarianceMatrixAdaptationES' object has no attribute '_eval_func'
qwen3.5-4b,2,59,AdaptiveSimulatedAnnealing,runtime_error,"ValueError: operands could not be broadcast together with shapes (3,2) (3,) "
qwen3.5-4b,2,60,AdaptiveParticleSwarmOptimizer,code_generation,"expected an indented block after 'if' statement on line 57 (<unknown>, line 67)"
qwen3.5-4b,2,61,AdaptiveDifferentialEvolution,runtime_error,AttributeError: 'tuple' object has no attribute 'copy'
qwen3.5-4b,2,62,AdaptiveEvolutionStrategy,code_generation,"closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 88)"
qwen3.5-4b,2,63,CovarianceMatrixEvolution,interface_mismatch,__call__ failed: unsupported operand type(s) for -: 'NoneType' and 'float'
qwen3.5-4b,2,64,CMAEvolutionStrategy,runtime_error,ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qwen3.5-4b,2,65,AdaptiveSimulatedAnnealing,runtime_error,AttributeError: 'AdaptiveSimulatedAnnealing' object has no attribute 'effective_temp'
qwen3.5-4b,2,66,CMAEvolutionaryStrategy,interface_mismatch,__call__ failed: '<' not supported between instances of 'list' and 'float'
qwen3.5-4b,2,67,AdaptiveCovarianceMatrixSearch,runtime_error,NameError: name 'dim' is not defined
qwen3.5-4b,2,68,AdaptiveCMAES,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,69,AdaptiveQuantumOptimization,import_violation,"time, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,2,70,CovarianceEvolutionarySearch,import_violation,scipy.linalg is currently not allowed to be imported in this framework.
qwen3.5-4b,2,71,AdaptiveCovarianceSimulatedAnnealing,import_violation,"time, dataclasses are currently not allowed to be imported in this framework."
qwen3.5-4b,2,72,AdaptiveCovarianceEvolution,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,73,AdaptiveCovarianceSA,interface_mismatch,"__call__ failed: __call__(): incompatible function arguments. The following argument types are supported:
    1. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[float]) -> float
    2. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[List[float]]) -> List[float]

Invoked with: <RealSingleObjectiveProblem 11. Discus (iid=1 dim=2)>, 0.6770032781999147"
qwen3.5-4b,2,74,AP_CEA,import_violation,collections is currently not allowed to be imported in this framework.
qwen3.5-4b,2,75,AdaptiveParticleSwarmOptimization,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,2,80,AdaptiveCovarianceAnnealing,import_violation,scipy.linalg is currently not allowed to be imported in this framework.
qwen3.5-4b,2,82,AdaptiveCovarianceOptimizer,unclassified_success,ok
qwen3.5-4b,2,84,AdaptiveBasinHoppingOptimization,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,85,CMAEvolutionStrategy,import_violation,time is currently not allowed to be imported in this framework.
qwen3.5-4b,2,86,HybridAdaptiveEvolutionaryOptimizer,runtime_error,IndexError: list assignment index out of range
